PROLIFIC_PID,test_order,human_response
66e60d5679cda3a829bbee24,1172,224.0
66e60d5679cda3a829bbee24,2448,252.0
66e60d5679cda3a829bbee24,1197,237.0
66e60d5679cda3a829bbee24,1838,202.0
66e60d5679cda3a829bbee24,2431,352.0
66e60d5679cda3a829bbee24,726,268.0
66e60d5679cda3a829bbee24,1874,153.0
66e60d5679cda3a829bbee24,738,151.0
66e60d5679cda3a829bbee24,2154,300.0
66e60d5679cda3a829bbee24,2357,245.0
66e60d5679cda3a829bbee24,856,132.0
66e60d5679cda3a829bbee24,1457,334.0
65d78f7e6f840c06394718d6,2254,112.0
65d78f7e6f840c06394718d6,2717,154.0
65d78f7e6f840c06394718d6,2605,131.0
65d78f7e6f840c06394718d6,2890,139.0
65d78f7e6f840c06394718d6,29,148.0
65d78f7e6f840c06394718d6,2703,122.0
65d78f7e6f840c06394718d6,1021,175.0
65d78f7e6f840c06394718d6,614,94.0
65d78f7e6f840c06394718d6,1363,171.0
65d78f7e6f840c06394718d6,1292,144.0
65d78f7e6f840c06394718d6,2100,212.0
65d78f7e6f840c06394718d6,1521,145.0
613e157ccd6af6049001ce25,1353,193.0
613e157ccd6af6049001ce25,636,144.0
613e157ccd6af6049001ce25,1074,200.0
613e157ccd6af6049001ce25,1874,160.0
613e157ccd6af6049001ce25,2097,343.0
613e157ccd6af6049001ce25,1044,144.0
613e157ccd6af6049001ce25,307,164.0
613e157ccd6af6049001ce25,481,177.0
613e157ccd6af6049001ce25,528,188.0
613e157ccd6af6049001ce25,2485,156.0
613e157ccd6af6049001ce25,2641,180.0
613e157ccd6af6049001ce25,1560,199.0
6785b080ddedc2aec5644019,46,160.0
6785b080ddedc2aec5644019,1833,250.0
6785b080ddedc2aec5644019,2060,130.0
6785b080ddedc2aec5644019,2588,145.0
6785b080ddedc2aec5644019,1395,115.0
6785b080ddedc2aec5644019,2111,180.0
6785b080ddedc2aec5644019,331,120.0
6785b080ddedc2aec5644019,304,140.0
6785b080ddedc2aec5644019,910,275.0
6785b080ddedc2aec5644019,2027,185.0
6785b080ddedc2aec5644019,322,235.0
6785b080ddedc2aec5644019,1646,200.0
64d5067b6cbee9de481d773b,2166,240.0
64d5067b6cbee9de481d773b,680,200.0
64d5067b6cbee9de481d773b,1614,300.0
64d5067b6cbee9de481d773b,127,185.0
64d5067b6cbee9de481d773b,4,280.0
64d5067b6cbee9de481d773b,714,175.0
64d5067b6cbee9de481d773b,1819,160.0
64d5067b6cbee9de481d773b,2152,280.0
64d5067b6cbee9de481d773b,1653,220.0
64d5067b6cbee9de481d773b,319,325.0
64d5067b6cbee9de481d773b,935,250.0
64d5067b6cbee9de481d773b,1521,150.0
67e4e5e1a1ac540ea5b20f8f,2639,82.0
67e4e5e1a1ac540ea5b20f8f,1608,270.0
67e4e5e1a1ac540ea5b20f8f,1498,418.0
67e4e5e1a1ac540ea5b20f8f,550,535.0
67e4e5e1a1ac540ea5b20f8f,1403,200.0
67e4e5e1a1ac540ea5b20f8f,1160,304.0
67e4e5e1a1ac540ea5b20f8f,1560,229.0
67e4e5e1a1ac540ea5b20f8f,562,350.0
67e4e5e1a1ac540ea5b20f8f,288,263.0
67e4e5e1a1ac540ea5b20f8f,878,397.0
67e4e5e1a1ac540ea5b20f8f,109,305.0
67e4e5e1a1ac540ea5b20f8f,2100,486.0
5f2f8574ff256b37b1970220,2866,240.0
5f2f8574ff256b37b1970220,2017,260.0
5f2f8574ff256b37b1970220,2832,300.0
5f2f8574ff256b37b1970220,2097,442.0
5f2f8574ff256b37b1970220,2723,161.0
5f2f8574ff256b37b1970220,1991,192.0
5f2f8574ff256b37b1970220,1337,179.0
5f2f8574ff256b37b1970220,2919,164.0
5f2f8574ff256b37b1970220,1709,332.0
5f2f8574ff256b37b1970220,1071,331.0
5f2f8574ff256b37b1970220,51,325.0
5f2f8574ff256b37b1970220,1917,160.0
67001c01bcb0cabf8a7f01e7,2021,155.0
67001c01bcb0cabf8a7f01e7,4,190.0
67001c01bcb0cabf8a7f01e7,1865,280.0
67001c01bcb0cabf8a7f01e7,907,140.0
67001c01bcb0cabf8a7f01e7,443,325.0
67001c01bcb0cabf8a7f01e7,2473,175.0
67001c01bcb0cabf8a7f01e7,1467,220.0
67001c01bcb0cabf8a7f01e7,1662,185.0
67001c01bcb0cabf8a7f01e7,1684,135.0
67001c01bcb0cabf8a7f01e7,1001,200.0
67001c01bcb0cabf8a7f01e7,706,156.0
67001c01bcb0cabf8a7f01e7,2731,191.0
67e8fe605b99434cf4cf8bd1,11,224.0
67e8fe605b99434cf4cf8bd1,1145,296.0
67e8fe605b99434cf4cf8bd1,969,192.0
67e8fe605b99434cf4cf8bd1,1837,201.0
67e8fe605b99434cf4cf8bd1,1518,398.0
67e8fe605b99434cf4cf8bd1,1453,456.0
67e8fe605b99434cf4cf8bd1,2437,369.0
67e8fe605b99434cf4cf8bd1,1306,296.0
67e8fe605b99434cf4cf8bd1,2102,504.0
67e8fe605b99434cf4cf8bd1,935,406.0
67e8fe605b99434cf4cf8bd1,1700,581.0
67e8fe605b99434cf4cf8bd1,922,402.0
67cde3d2a3ea9f4a7a1e86d2,383,195.0
67cde3d2a3ea9f4a7a1e86d2,2719,185.0
67cde3d2a3ea9f4a7a1e86d2,1146,165.0
67cde3d2a3ea9f4a7a1e86d2,367,360.0
67cde3d2a3ea9f4a7a1e86d2,878,165.0
67cde3d2a3ea9f4a7a1e86d2,2120,110.0
67cde3d2a3ea9f4a7a1e86d2,1838,190.0
67cde3d2a3ea9f4a7a1e86d2,606,165.0
67cde3d2a3ea9f4a7a1e86d2,1356,66.0
67cde3d2a3ea9f4a7a1e86d2,935,160.0
67cde3d2a3ea9f4a7a1e86d2,1659,215.0
67cde3d2a3ea9f4a7a1e86d2,1337,175.0
67fe7d2e0475bdecd927476e,2136,161.0
67fe7d2e0475bdecd927476e,1832,150.0
67fe7d2e0475bdecd927476e,2212,236.0
67fe7d2e0475bdecd927476e,1514,87.0
67fe7d2e0475bdecd927476e,1809,161.0
67fe7d2e0475bdecd927476e,1563,311.0
67fe7d2e0475bdecd927476e,1590,309.0
67fe7d2e0475bdecd927476e,955,238.0
67fe7d2e0475bdecd927476e,433,239.0
67fe7d2e0475bdecd927476e,152,243.0
67fe7d2e0475bdecd927476e,1335,313.0
67fe7d2e0475bdecd927476e,1604,234.0
67c96f7b5cda53efa5f069b2,738,89.0
67c96f7b5cda53efa5f069b2,33,163.0
67c96f7b5cda53efa5f069b2,1021,213.0
67c96f7b5cda53efa5f069b2,2287,104.0
67c96f7b5cda53efa5f069b2,1521,73.0
67c96f7b5cda53efa5f069b2,536,162.0
67c96f7b5cda53efa5f069b2,985,133.0
67c96f7b5cda53efa5f069b2,2852,131.0
67c96f7b5cda53efa5f069b2,2569,163.0
67c96f7b5cda53efa5f069b2,813,205.0
67c96f7b5cda53efa5f069b2,1364,117.0
67c96f7b5cda53efa5f069b2,2724,133.0
66d5d931d3a66fa93bdfddb9,234,220.0
66d5d931d3a66fa93bdfddb9,1356,130.0
66d5d931d3a66fa93bdfddb9,1838,180.0
66d5d931d3a66fa93bdfddb9,2482,160.0
66d5d931d3a66fa93bdfddb9,1197,231.0
66d5d931d3a66fa93bdfddb9,1766,300.0
66d5d931d3a66fa93bdfddb9,1416,190.0
66d5d931d3a66fa93bdfddb9,1292,160.0
66d5d931d3a66fa93bdfddb9,1039,181.0
66d5d931d3a66fa93bdfddb9,536,131.0
66d5d931d3a66fa93bdfddb9,1789,230.0
66d5d931d3a66fa93bdfddb9,738,232.0
6365b39d456c37b91bf98540,1190,266.0
6365b39d456c37b91bf98540,944,150.0
6365b39d456c37b91bf98540,2888,201.0
6365b39d456c37b91bf98540,304,180.0
6365b39d456c37b91bf98540,2705,174.0
6365b39d456c37b91bf98540,1939,200.0
6365b39d456c37b91bf98540,1767,190.0
6365b39d456c37b91bf98540,429,225.0
6365b39d456c37b91bf98540,726,211.0
6365b39d456c37b91bf98540,1045,192.0
6365b39d456c37b91bf98540,2429,221.0
6365b39d456c37b91bf98540,209,217.0
67acda05ca320fb05492087e,2334,381.0
67acda05ca320fb05492087e,1431,164.0
67acda05ca320fb05492087e,2580,100.0
67acda05ca320fb05492087e,430,334.0
67acda05ca320fb05492087e,2515,166.0
67acda05ca320fb05492087e,251,187.0
67acda05ca320fb05492087e,1416,114.0
67acda05ca320fb05492087e,1501,66.0
67acda05ca320fb05492087e,307,60.0
67acda05ca320fb05492087e,2069,106.0
67acda05ca320fb05492087e,2044,92.0
67acda05ca320fb05492087e,2108,136.0
67e581649015152b23684ecb,491,380.0
67e581649015152b23684ecb,2170,542.0
67e581649015152b23684ecb,1454,579.0
67e581649015152b23684ecb,228,388.0
67e581649015152b23684ecb,1809,473.0
67e581649015152b23684ecb,283,321.0
67e581649015152b23684ecb,1449,514.0
67e581649015152b23684ecb,1444,503.0
67e581649015152b23684ecb,83,467.0
67e581649015152b23684ecb,1534,462.0
67e581649015152b23684ecb,2890,398.0
67e581649015152b23684ecb,302,466.0
662bb856399c82d529743838,1235,117.0
662bb856399c82d529743838,2249,128.0
662bb856399c82d529743838,2448,261.0
662bb856399c82d529743838,383,300.0
662bb856399c82d529743838,2214,302.0
662bb856399c82d529743838,624,281.0
662bb856399c82d529743838,1484,430.0
662bb856399c82d529743838,2154,282.0
662bb856399c82d529743838,2283,415.0
662bb856399c82d529743838,1809,329.0
662bb856399c82d529743838,1656,329.0
662bb856399c82d529743838,2132,431.0
67c111bb12926008b56bc878,562,130.0
67c111bb12926008b56bc878,1993,155.0
67c111bb12926008b56bc878,2515,300.0
67c111bb12926008b56bc878,1917,132.0
67c111bb12926008b56bc878,1148,351.0
67c111bb12926008b56bc878,2555,184.0
67c111bb12926008b56bc878,305,155.0
67c111bb12926008b56bc878,2485,116.0
67c111bb12926008b56bc878,1632,216.0
67c111bb12926008b56bc878,969,396.0
67c111bb12926008b56bc878,778,172.0
67c111bb12926008b56bc878,1754,286.0
68188b0808597c1ec6ebe427,221,13.0
68188b0808597c1ec6ebe427,103,17.0
68188b0808597c1ec6ebe427,544,20.0
68188b0808597c1ec6ebe427,2257,17.0
68188b0808597c1ec6ebe427,1855,188.0
68188b0808597c1ec6ebe427,1295,123.0
68188b0808597c1ec6ebe427,1239,96.0
68188b0808597c1ec6ebe427,1144,178.0
68188b0808597c1ec6ebe427,809,174.0
68188b0808597c1ec6ebe427,2018,87.0
68188b0808597c1ec6ebe427,481,180.0
68188b0808597c1ec6ebe427,2305,108.0
5edfbd316e98a72c5f5bdf16,980,114.0
5edfbd316e98a72c5f5bdf16,955,153.0
5edfbd316e98a72c5f5bdf16,639,105.0
5edfbd316e98a72c5f5bdf16,1674,188.0
5edfbd316e98a72c5f5bdf16,1335,180.0
5edfbd316e98a72c5f5bdf16,1218,160.0
5edfbd316e98a72c5f5bdf16,193,190.0
5edfbd316e98a72c5f5bdf16,1337,204.0
5edfbd316e98a72c5f5bdf16,2445,302.0
5edfbd316e98a72c5f5bdf16,2202,160.0
5edfbd316e98a72c5f5bdf16,2803,109.0
5edfbd316e98a72c5f5bdf16,2127,106.0
6599b15ac5bd63ec64f8b1f5,1853,179.0
6599b15ac5bd63ec64f8b1f5,2402,115.0
6599b15ac5bd63ec64f8b1f5,1358,116.0
6599b15ac5bd63ec64f8b1f5,550,193.0
6599b15ac5bd63ec64f8b1f5,2605,282.0
6599b15ac5bd63ec64f8b1f5,249,160.0
6599b15ac5bd63ec64f8b1f5,2930,263.0
6599b15ac5bd63ec64f8b1f5,526,240.0
6599b15ac5bd63ec64f8b1f5,590,289.0
6599b15ac5bd63ec64f8b1f5,1679,209.0
6599b15ac5bd63ec64f8b1f5,974,184.0
6599b15ac5bd63ec64f8b1f5,1400,260.0
67d75ad8c818524ca3b86ec8,1179,210.0
67d75ad8c818524ca3b86ec8,1250,248.0
67d75ad8c818524ca3b86ec8,1540,481.0
67d75ad8c818524ca3b86ec8,1991,325.0
67d75ad8c818524ca3b86ec8,1809,186.0
67d75ad8c818524ca3b86ec8,1044,173.0
67d75ad8c818524ca3b86ec8,365,324.0
67d75ad8c818524ca3b86ec8,2595,331.0
67d75ad8c818524ca3b86ec8,415,279.0
67d75ad8c818524ca3b86ec8,1302,356.0
67d75ad8c818524ca3b86ec8,985,243.0
67d75ad8c818524ca3b86ec8,182,289.0
67854ba4bab6fc4b80eba268,2866,264.0
67854ba4bab6fc4b80eba268,1674,240.0
67854ba4bab6fc4b80eba268,2456,392.0
67854ba4bab6fc4b80eba268,1484,189.0
67854ba4bab6fc4b80eba268,178,202.0
67854ba4bab6fc4b80eba268,1954,140.0
67854ba4bab6fc4b80eba268,2323,236.0
67854ba4bab6fc4b80eba268,2157,266.0
67854ba4bab6fc4b80eba268,1157,267.0
67854ba4bab6fc4b80eba268,2027,270.0
67854ba4bab6fc4b80eba268,682,208.0
67854ba4bab6fc4b80eba268,564,395.0
674bea1eb044fbe75795fef1,1564,182.0
674bea1eb044fbe75795fef1,488,141.0
674bea1eb044fbe75795fef1,1010,151.0
674bea1eb044fbe75795fef1,352,178.0
674bea1eb044fbe75795fef1,1978,123.0
674bea1eb044fbe75795fef1,430,228.0
674bea1eb044fbe75795fef1,2642,170.0
674bea1eb044fbe75795fef1,332,131.0
674bea1eb044fbe75795fef1,188,143.0
674bea1eb044fbe75795fef1,2709,136.0
674bea1eb044fbe75795fef1,4,162.0
674bea1eb044fbe75795fef1,1157,143.0
5c7e7fd6b4c2910001a3aef2,2515,172.0
5c7e7fd6b4c2910001a3aef2,33,149.0
5c7e7fd6b4c2910001a3aef2,1629,164.0
5c7e7fd6b4c2910001a3aef2,1431,174.0
5c7e7fd6b4c2910001a3aef2,2704,120.0
5c7e7fd6b4c2910001a3aef2,1795,130.0
5c7e7fd6b4c2910001a3aef2,1334,100.0
5c7e7fd6b4c2910001a3aef2,757,113.0
5c7e7fd6b4c2910001a3aef2,1308,165.0
5c7e7fd6b4c2910001a3aef2,1857,159.0
5c7e7fd6b4c2910001a3aef2,2170,135.0
5c7e7fd6b4c2910001a3aef2,2094,205.0
667f4eb6c32c389a9edb9747,2308,159.0
667f4eb6c32c389a9edb9747,481,139.0
667f4eb6c32c389a9edb9747,1576,178.0
667f4eb6c32c389a9edb9747,2019,100.0
667f4eb6c32c389a9edb9747,1180,174.0
667f4eb6c32c389a9edb9747,1179,196.0
667f4eb6c32c389a9edb9747,1335,174.0
667f4eb6c32c389a9edb9747,955,262.0
667f4eb6c32c389a9edb9747,522,189.0
667f4eb6c32c389a9edb9747,2276,196.0
667f4eb6c32c389a9edb9747,1709,305.0
667f4eb6c32c389a9edb9747,2580,89.0
67ef4c37f1e3a6b457d0e046,2568,129.0
67ef4c37f1e3a6b457d0e046,980,89.0
67ef4c37f1e3a6b457d0e046,1219,93.0
67ef4c37f1e3a6b457d0e046,2127,32.0
67ef4c37f1e3a6b457d0e046,1939,169.0
67ef4c37f1e3a6b457d0e046,2719,181.0
67ef4c37f1e3a6b457d0e046,1543,199.0
67ef4c37f1e3a6b457d0e046,2595,108.0
67ef4c37f1e3a6b457d0e046,773,82.0
67ef4c37f1e3a6b457d0e046,2159,214.0
67ef4c37f1e3a6b457d0e046,2135,92.0
67ef4c37f1e3a6b457d0e046,1190,130.0
6792f95f2a4f2c1eeb7c31ed,1564,728.0
6792f95f2a4f2c1eeb7c31ed,1588,714.0
6792f95f2a4f2c1eeb7c31ed,182,30.0
6792f95f2a4f2c1eeb7c31ed,2169,54.0
6792f95f2a4f2c1eeb7c31ed,2879,30.0
6792f95f2a4f2c1eeb7c31ed,1491,96.0
6792f95f2a4f2c1eeb7c31ed,856,83.0
6792f95f2a4f2c1eeb7c31ed,1594,82.0
6792f95f2a4f2c1eeb7c31ed,172,35.0
6792f95f2a4f2c1eeb7c31ed,2357,83.0
6792f95f2a4f2c1eeb7c31ed,1457,754.0
6792f95f2a4f2c1eeb7c31ed,2214,152.0
66a9843c53827f826e9738ed,232,207.0
66a9843c53827f826e9738ed,944,161.0
66a9843c53827f826e9738ed,655,184.0
66a9843c53827f826e9738ed,197,231.0
66a9843c53827f826e9738ed,1090,255.0
66a9843c53827f826e9738ed,1250,229.0
66a9843c53827f826e9738ed,2316,208.0
66a9843c53827f826e9738ed,797,226.0
66a9843c53827f826e9738ed,1659,230.0
66a9843c53827f826e9738ed,1150,187.0
66a9843c53827f826e9738ed,1160,198.0
66a9843c53827f826e9738ed,726,227.0
67e519444fcac081311bbb64,2719,150.0
67e519444fcac081311bbb64,152,30.0
67e519444fcac081311bbb64,1590,300.0
67e519444fcac081311bbb64,188,80.0
67e519444fcac081311bbb64,2275,400.0
67e519444fcac081311bbb64,41,401.0
67e519444fcac081311bbb64,2508,300.0
67e519444fcac081311bbb64,2132,420.0
67e519444fcac081311bbb64,367,550.0
67e519444fcac081311bbb64,1039,100.0
67e519444fcac081311bbb64,676,90.0
67e519444fcac081311bbb64,1901,50.0
5eb6f666c792cd6143878d27,877,374.0
5eb6f666c792cd6143878d27,1309,54.0
5eb6f666c792cd6143878d27,1266,111.0
5eb6f666c792cd6143878d27,574,238.0
5eb6f666c792cd6143878d27,1005,260.0
5eb6f666c792cd6143878d27,1629,93.0
5eb6f666c792cd6143878d27,2340,213.0
5eb6f666c792cd6143878d27,1235,63.0
5eb6f666c792cd6143878d27,2797,109.0
5eb6f666c792cd6143878d27,1917,43.0
5eb6f666c792cd6143878d27,1819,78.0
5eb6f666c792cd6143878d27,1329,34.0
67f04242a622dcf4efaeffae,478,211.0
67f04242a622dcf4efaeffae,1939,194.0
67f04242a622dcf4efaeffae,496,260.0
67f04242a622dcf4efaeffae,195,185.0
67f04242a622dcf4efaeffae,2194,175.0
67f04242a622dcf4efaeffae,2681,190.0
67f04242a622dcf4efaeffae,1995,180.0
67f04242a622dcf4efaeffae,1777,210.0
67f04242a622dcf4efaeffae,1217,190.0
67f04242a622dcf4efaeffae,2105,180.0
67f04242a622dcf4efaeffae,2515,205.0
67f04242a622dcf4efaeffae,416,190.0
675cf75e3c237ff931f4a43e,1206,115.0
675cf75e3c237ff931f4a43e,2518,135.0
675cf75e3c237ff931f4a43e,1309,160.0
675cf75e3c237ff931f4a43e,2362,110.0
675cf75e3c237ff931f4a43e,2021,110.0
675cf75e3c237ff931f4a43e,1504,110.0
675cf75e3c237ff931f4a43e,813,210.0
