PROLIFIC_PID,test_order,human_response
665762fdab6df18f5032505b,2249,188.0
665762fdab6df18f5032505b,1334,129.0
665762fdab6df18f5032505b,2183,224.0
665762fdab6df18f5032505b,621,150.0
665762fdab6df18f5032505b,14,150.0
665762fdab6df18f5032505b,2872,188.0
665762fdab6df18f5032505b,283,150.0
665762fdab6df18f5032505b,394,190.0
665762fdab6df18f5032505b,2710,140.0
665762fdab6df18f5032505b,1133,200.0
665762fdab6df18f5032505b,2484,163.0
665762fdab6df18f5032505b,900,200.0
603d6ae665fbaacb5621ede2,703,474.0
603d6ae665fbaacb5621ede2,1630,426.0
603d6ae665fbaacb5621ede2,2515,585.0
603d6ae665fbaacb5621ede2,1010,498.0
603d6ae665fbaacb5621ede2,51,291.0
603d6ae665fbaacb5621ede2,109,310.0
603d6ae665fbaacb5621ede2,1978,261.0
603d6ae665fbaacb5621ede2,757,107.0
603d6ae665fbaacb5621ede2,2582,323.0
603d6ae665fbaacb5621ede2,1837,406.0
603d6ae665fbaacb5621ede2,57,268.0
603d6ae665fbaacb5621ede2,1608,307.0
60fd6618f9a377f54dcdf318,292,160.0
60fd6618f9a377f54dcdf318,1489,302.0
60fd6618f9a377f54dcdf318,1309,267.0
60fd6618f9a377f54dcdf318,2610,316.0
60fd6618f9a377f54dcdf318,108,123.0
60fd6618f9a377f54dcdf318,2044,250.0
60fd6618f9a377f54dcdf318,2588,173.0
60fd6618f9a377f54dcdf318,1588,381.0
60fd6618f9a377f54dcdf318,608,256.0
60fd6618f9a377f54dcdf318,1556,203.0
60fd6618f9a377f54dcdf318,2726,372.0
60fd6618f9a377f54dcdf318,2396,502.0
67e0a8458369d92d9789b0b4,276,149.0
67e0a8458369d92d9789b0b4,1484,174.0
67e0a8458369d92d9789b0b4,1010,227.0
67e0a8458369d92d9789b0b4,912,277.0
67e0a8458369d92d9789b0b4,2790,406.0
67e0a8458369d92d9789b0b4,1907,205.0
67e0a8458369d92d9789b0b4,2701,222.0
67e0a8458369d92d9789b0b4,1072,484.0
67e0a8458369d92d9789b0b4,2623,201.0
67e0a8458369d92d9789b0b4,2102,304.0
67e0a8458369d92d9789b0b4,496,570.0
67e0a8458369d92d9789b0b4,197,155.0
67ad581c7825ebbd7a5365e0,1298,200.0
67ad581c7825ebbd7a5365e0,1737,205.0
67ad581c7825ebbd7a5365e0,2152,202.0
67ad581c7825ebbd7a5365e0,1945,190.0
67ad581c7825ebbd7a5365e0,14,176.0
67ad581c7825ebbd7a5365e0,1033,285.0
67ad581c7825ebbd7a5365e0,1830,176.0
67ad581c7825ebbd7a5365e0,558,161.0
67ad581c7825ebbd7a5365e0,368,320.0
67ad581c7825ebbd7a5365e0,2009,201.0
67ad581c7825ebbd7a5365e0,2583,173.0
67ad581c7825ebbd7a5365e0,1457,310.0
570d22b35e5156000efd8bd5,2426,180.0
570d22b35e5156000efd8bd5,2170,104.0
570d22b35e5156000efd8bd5,1659,106.0
570d22b35e5156000efd8bd5,1570,145.0
570d22b35e5156000efd8bd5,1211,90.0
570d22b35e5156000efd8bd5,82,175.0
570d22b35e5156000efd8bd5,2681,85.0
570d22b35e5156000efd8bd5,172,80.0
570d22b35e5156000efd8bd5,73,209.0
570d22b35e5156000efd8bd5,1484,166.0
570d22b35e5156000efd8bd5,1133,304.0
570d22b35e5156000efd8bd5,608,83.0
672d4ccff9372d646bbd16ba,541,220.0
672d4ccff9372d646bbd16ba,1938,235.0
672d4ccff9372d646bbd16ba,2523,302.0
672d4ccff9372d646bbd16ba,2580,251.0
672d4ccff9372d646bbd16ba,2105,262.0
672d4ccff9372d646bbd16ba,269,199.0
672d4ccff9372d646bbd16ba,1612,275.0
672d4ccff9372d646bbd16ba,840,261.0
672d4ccff9372d646bbd16ba,606,245.0
672d4ccff9372d646bbd16ba,256,222.0
672d4ccff9372d646bbd16ba,2127,125.0
672d4ccff9372d646bbd16ba,2484,196.0
66562875b665d8e2b1b6fc66,228,131.0
66562875b665d8e2b1b6fc66,1385,152.0
66562875b665d8e2b1b6fc66,1809,192.0
66562875b665d8e2b1b6fc66,18,214.0
66562875b665d8e2b1b6fc66,1136,201.0
66562875b665d8e2b1b6fc66,112,182.0
66562875b665d8e2b1b6fc66,95,229.0
66562875b665d8e2b1b6fc66,103,246.0
66562875b665d8e2b1b6fc66,158,136.0
66562875b665d8e2b1b6fc66,2429,239.0
66562875b665d8e2b1b6fc66,283,127.0
66562875b665d8e2b1b6fc66,48,238.0
67e9df18f9a0dae8ec36feee,158,515.0
67e9df18f9a0dae8ec36feee,2119,640.0
67e9df18f9a0dae8ec36feee,232,246.0
67e9df18f9a0dae8ec36feee,1754,469.0
67e9df18f9a0dae8ec36feee,1381,225.0
67e9df18f9a0dae8ec36feee,1416,277.0
67e9df18f9a0dae8ec36feee,1563,326.0
67e9df18f9a0dae8ec36feee,1939,517.0
67e9df18f9a0dae8ec36feee,694,266.0
67e9df18f9a0dae8ec36feee,108,406.0
67e9df18f9a0dae8ec36feee,912,589.0
67e9df18f9a0dae8ec36feee,138,457.0
67b6b708da303cda0aecbdad,2161,755.0
67b6b708da303cda0aecbdad,1571,755.0
67b6b708da303cda0aecbdad,937,755.0
67b6b708da303cda0aecbdad,2461,755.0
67b6b708da303cda0aecbdad,2254,750.0
67b6b708da303cda0aecbdad,773,749.0
67b6b708da303cda0aecbdad,2180,755.0
67b6b708da303cda0aecbdad,903,749.0
67b6b708da303cda0aecbdad,1588,755.0
67b6b708da303cda0aecbdad,1071,755.0
67b6b708da303cda0aecbdad,1218,745.0
67b6b708da303cda0aecbdad,556,755.0
6007a7996fbeef04ce080f90,2628,135.0
6007a7996fbeef04ce080f90,2869,145.0
6007a7996fbeef04ce080f90,2565,105.0
6007a7996fbeef04ce080f90,1917,94.0
6007a7996fbeef04ce080f90,2717,134.0
6007a7996fbeef04ce080f90,2788,106.0
6007a7996fbeef04ce080f90,48,210.0
6007a7996fbeef04ce080f90,784,120.0
6007a7996fbeef04ce080f90,1180,139.0
6007a7996fbeef04ce080f90,433,248.0
6007a7996fbeef04ce080f90,1878,110.0
6007a7996fbeef04ce080f90,14,160.0
67f427df76b1cfe6b45e5903,2169,140.0
67f427df76b1cfe6b45e5903,256,147.0
67f427df76b1cfe6b45e5903,2027,162.0
67f427df76b1cfe6b45e5903,496,130.0
67f427df76b1cfe6b45e5903,1418,144.0
67f427df76b1cfe6b45e5903,758,144.0
67f427df76b1cfe6b45e5903,2588,161.0
67f427df76b1cfe6b45e5903,112,142.0
67f427df76b1cfe6b45e5903,2780,154.0
67f427df76b1cfe6b45e5903,440,179.0
67f427df76b1cfe6b45e5903,2523,148.0
67f427df76b1cfe6b45e5903,1614,137.0
6595938bf754e3013651e556,1172,226.0
6595938bf754e3013651e556,2275,280.0
6595938bf754e3013651e556,1585,201.0
6595938bf754e3013651e556,2054,172.0
6595938bf754e3013651e556,547,272.0
6595938bf754e3013651e556,2434,305.0
6595938bf754e3013651e556,1909,188.0
6595938bf754e3013651e556,481,214.0
6595938bf754e3013651e556,51,284.0
6595938bf754e3013651e556,1922,177.0
6595938bf754e3013651e556,2825,466.0
6595938bf754e3013651e556,1649,184.0
66f16d7bfd2a1c4581ddc3e7,1218,520.0
66f16d7bfd2a1c4581ddc3e7,2852,375.0
66f16d7bfd2a1c4581ddc3e7,2437,477.0
66f16d7bfd2a1c4581ddc3e7,2569,383.0
66f16d7bfd2a1c4581ddc3e7,1649,396.0
66f16d7bfd2a1c4581ddc3e7,1163,541.0
66f16d7bfd2a1c4581ddc3e7,1400,467.0
66f16d7bfd2a1c4581ddc3e7,5,380.0
66f16d7bfd2a1c4581ddc3e7,2693,339.0
66f16d7bfd2a1c4581ddc3e7,1190,473.0
66f16d7bfd2a1c4581ddc3e7,404,377.0
66f16d7bfd2a1c4581ddc3e7,773,503.0
67e7ec46da3dad9065250b9d,108,447.0
67e7ec46da3dad9065250b9d,2605,547.0
67e7ec46da3dad9065250b9d,2169,535.0
67e7ec46da3dad9065250b9d,281,598.0
67e7ec46da3dad9065250b9d,394,481.0
67e7ec46da3dad9065250b9d,1855,683.0
67e7ec46da3dad9065250b9d,1629,561.0
67e7ec46da3dad9065250b9d,1190,699.0
67e7ec46da3dad9065250b9d,1238,645.0
67e7ec46da3dad9065250b9d,2849,493.0
67e7ec46da3dad9065250b9d,127,416.0
67e7ec46da3dad9065250b9d,1211,661.0
678989bea77beeb59f622658,2484,99.0
678989bea77beeb59f622658,193,159.0
678989bea77beeb59f622658,679,109.0
678989bea77beeb59f622658,192,137.0
678989bea77beeb59f622658,95,159.0
678989bea77beeb59f622658,1720,175.0
678989bea77beeb59f622658,2855,162.0
678989bea77beeb59f622658,1697,199.0
678989bea77beeb59f622658,1726,188.0
678989bea77beeb59f622658,1418,90.0
678989bea77beeb59f622658,1232,145.0
678989bea77beeb59f622658,73,200.0
6630fcae418bde6a9e7c3b47,1959,199.0
6630fcae418bde6a9e7c3b47,319,350.0
6630fcae418bde6a9e7c3b47,394,299.0
6630fcae418bde6a9e7c3b47,1767,185.0
6630fcae418bde6a9e7c3b47,367,333.0
6630fcae418bde6a9e7c3b47,2132,160.0
6630fcae418bde6a9e7c3b47,2344,315.0
6630fcae418bde6a9e7c3b47,2305,200.0
6630fcae418bde6a9e7c3b47,2799,299.0
6630fcae418bde6a9e7c3b47,2556,101.0
6630fcae418bde6a9e7c3b47,258,260.0
6630fcae418bde6a9e7c3b47,2928,100.0
